Test,Trio_Time,Trio_Size,Trio_Iter,Burst_Time,Burst_Size,Burst_Iter,Smyth_Time,Smyth_Size,Smyth_Iter
bool_always_false,0.02,4,1,0.01,4,0,0.02,4,0
bool_always_true,0.01,4,0,0.01,4,1,0.02,4,1
bool_band,0.02,14,3,0.02,14,3,0.02,23,3
bool_bor,0.02,14,3,0.02,14,4,0.03,23,4
bool_impl,0.02,13,2,0.02,13,3,0.02,23,3
bool_neg,0.02,8,2,0.01,8,2,0.02,8,2
bool_xor,0.02,20,3,0.02,20,3,0.04,27,4
list_append,0.48,31,6,0.40,31,6,0.66,33,8
list_compress,1.07,56,10,1.53,56,9,120,N/A,N/A
list_concat,1.06,19,5,1.19,19,4,1.14,17,4
list_drop,0.36,31,5,1.46,31,6,120,N/A,N/A
list_even_parity,0.13,25,5,0.15,23,6,0.16,22,6
list_filter,0.91,56,8,1.13,56,8,120,N/A,N/A
list_fold,0.86,42,6,12.25,42,6,120,N/A,N/A
list_hd,0.19,10,2,0.21,10,2,0.22,9,2
list_inc,0.42,18,4,0.49,18,3,0.63,12,2
list_last,0.38,22,4,0.47,22,3,0.43,19,5
list_length,0.43,13,4,0.35,13,4,0.36,12,3
list_map,0.67,37,6,0.70,37,4,120,N/A,N/A
list_nth,0.38,33,6,0.45,33,7,0.45,34,5
list_pairwise_swap,0.36,38,7,0.47,38,6,120,N/A,N/A
list_rev_append,0.96,22,5,11.65,22,5,120,N/A,N/A
list_rev_fold,0.76,10,3,0.79,10,2,120,N/A,N/A
list_rev_snoc,1.02,18,5,6.34,18,4,120,N/A,N/A
list_rev_tailcall,120,N/A,N/A,120,N/A,N/A,0.52,33,9
list_snoc,0.35,36,3,0.43,36,3,0.48,36,7
list_sort_sorted_insert,1.33,18,6,1.65,18,5,1.32,16,6
list_sorted_insert,0.90,60,6,1.03,60,6,13.87,69,12
list_stutter,0.36,23,3,0.99,23,3,0.49,21,4
list_sum,0.82,10,2,0.71,10,2,0.80,10,2
list_take,0.38,38,9,15.74,38,9,0.42,38,7
list_tl,0.18,9,2,0.21,9,2,0.23,9,2
nat_add,0.15,22,5,0.08,22,6,0.07,27,6
nat_iseven,0.02,16,4,0.02,16,4,0.02,13,4
nat_max,0.29,23,5,4.88,23,5,0.15,34,7
nat_pred,0.02,7,2,0.01,7,2,0.02,7,2
tree_binsert,7.65,87,7,18.88,87,8,120,N/A,N/A
tree_collect_leaves,5.70,27,4,6.54,27,5,7.80,24,5
tree_count_leaves,5.42,22,4,7.01,22,4,8.27,25,4
tree_count_nodes,5.66,22,4,5.83,22,4,6.83,20,4
tree_inorder,8.09,27,4,12.23,27,5,8.98,24,6
tree_map,6.07,49,7,7.10,49,5,120,N/A,N/A
tree_nodes_at_level,5.88,47,7,120,N/A,N/A,26.21,43,5
tree_postorder,9.75,32,6,10.54,32,7,120,N/A,N/A
tree_preorder,10.18,27,6,39.27,27,5,9.38,24,5
expr_boolean,33.22,59,14,7.70,59,21,120,N/A,N/A
expr,4.36,36,9,120,N/A,N/A,120,N/A,N/A
expr_sub,28.00,51,12,120,N/A,N/A,120,N/A,N/A
expr_div,120,N/A,N/A,120,N/A,N/A,120,N/A,N/A
list_dropeven,0.43,28,6,0.37,28,6,120,N/A,N/A
list_last2,0.72,40,7,1.90,39,5,1.02,29,6
list_make,0.04,14,3,0.03,14,3,0.03,13,3
list_range,1.04,49,7,118.64,49,6,120,N/A,N/A
nat_mul,0.96,27,6,77.55,27,8,9.01,31,7
nat_sub,0.29,29,6,1.25,29,7,120,N/A,N/A
tree_balanced,120,N/A,N/A,120,N/A,N/A,120,N/A,N/A
tree_height,10.19,23,6,8.56,22,6,10.86,20,5
tree_lastleft,9.40,21,6,7.92,21,5,8.65,18,5
tree_notexist,11.76,79,8,12.07,79,9,120,N/A,N/A
tree_sum,9.62,28,5,11.62,28,5,9.03,25,5
list_append_tailcall,120,N/A,N/A,120,N/A,N/A,0.55,33,9
list_length_tailcall,0.33,24,4,0.31,24,4,0.45,29,5
list_sum_tailcall,0.67,32,5,2.52,32,6,1.07,34,6
nat_fac_tailcall,120,N/A,N/A,120,N/A,N/A,120,N/A,N/A
nat_fib_tailcall,120,N/A,N/A,120,N/A,N/A,120,N/A,N/A
